Fecha,CodigoEmbalse,VertimientosEnergia,CodigoDuracion
2013-01-20,TRONERAS,0,P1D
2013-01-20,RIOGRAN2,0,P1D
2013-01-20,CALIMA1,0,P1D
2013-01-20,ESMERALD,0,P1D
2013-01-19,CHUZA,0,P1D
2013-01-19,CALIMA1,0,P1D
2013-01-19,GUAVIO,0,P1D
2013-01-19,RIOGRAN2,0,P1D
2013-01-19,ESMERALD,0,P1D
2013-01-19,PENOL,0,P1D
2013-01-19,AGREGADO_BOGOTA,0,P1D
2013-01-19,PLAYAS,0,P1D
2013-01-19,ALTOANCH,0,P1D
2013-01-19,MUNA,0,P1D
2013-01-19,PORCE3,0,P1D
2013-01-19,PUNCHINA,0,P1D
2013-01-19,TRONERAS,0,P1D
2013-01-19,SALVAJIN,0,P1D
2013-01-19,SANLOREN,0,P1D
2013-01-19,PRADO,0,P1D
2013-01-19,FLORIDA2,0,P1D
2013-01-19,MIRAFLOR,0,P1D
2013-01-19,MIEL1,0,P1D
2013-01-19,AGREGADO_SIN,0,P1D
2013-01-19,URRA1,0,P1D
2013-01-18,TRONERAS,0,P1D
2013-01-18,PUNCHINA,0,P1D
2013-01-18,FLORIDA2,0,P1D
2013-01-18,MIEL1,0,P1D
2013-01-18,PLAYAS,0,P1D
2013-01-18,PENOL,0,P1D
2013-01-18,PORCE3,0,P1D
2013-01-18,AGREGADO_BOGOTA,0,P1D
2013-01-18,GUAVIO,0,P1D
2013-01-18,MIRAFLOR,0,P1D
2013-01-18,SANLOREN,0,P1D
2013-01-18,URRA1,0,P1D
2013-01-18,RIOGRAN2,0,P1D
2013-01-18,MUNA,0,P1D
2013-01-18,SALVAJIN,0,P1D
2013-01-18,CHUZA,0,P1D
2013-01-18,ALTOANCH,0,P1D
2013-01-18,CALIMA1,0,P1D
2013-01-18,ESMERALD,0,P1D
2013-01-18,AGREGADO_SIN,0,P1D
2013-01-18,PRADO,0,P1D
2013-01-17,CALIMA1,0,P1D
2013-01-17,TRONERAS,0,P1D
2013-01-17,URRA1,0,P1D
2013-01-17,AGREGADO_SIN,0,P1D
2013-01-17,FLORIDA2,0,P1D
2013-01-17,AGREGADO_BOGOTA,0,P1D
2013-01-17,SALVAJIN,0,P1D
2013-01-17,CHUZA,0,P1D
2013-01-17,PUNCHINA,0,P1D
2013-01-17,ALTOANCH,0,P1D
2013-01-17,MUNA,0,P1D
2013-01-17,ESMERALD,0,P1D
2013-01-17,GUAVIO,0,P1D
2013-01-17,PORCE3,0,P1D
2013-01-17,PRADO,0,P1D
2013-01-17,MIEL1,0,P1D
2013-01-17,RIOGRAN2,0,P1D
2013-01-17,PENOL,0,P1D
2013-01-17,MIRAFLOR,0,P1D
2013-01-17,SANLOREN,0,P1D
2013-01-17,PLAYAS,0,P1D
2013-01-16,URRA1,0,P1D
2013-01-16,AGREGADO_BOGOTA,0,P1D
2013-01-16,MIEL1,0,P1D
2013-01-16,CHUZA,0,P1D
2013-01-16,FLORIDA2,0,P1D
2013-01-16,MIRAFLOR,0,P1D
2013-01-16,ESMERALD,0,P1D
2013-01-16,ALTOANCH,0,P1D
2013-01-16,RIOGRAN2,0,P1D
2013-01-16,SANLOREN,0,P1D
2013-01-16,AGREGADO_SIN,0,P1D
2013-01-16,PORCE3,0,P1D
2013-01-16,PENOL,0,P1D
2013-01-16,PRADO,0,P1D
2013-01-16,PLAYAS,0,P1D
2013-01-16,TRONERAS,0,P1D
2013-01-16,SALVAJIN,0,P1D
2013-01-16,MUNA,0,P1D
2013-01-16,GUAVIO,0,P1D
2013-01-16,PUNCHINA,0,P1D
2013-01-16,CALIMA1,0,P1D
2013-01-15,PENOL,0,P1D
2013-01-15,FLORIDA2,0,P1D
2013-01-15,TRONERAS,0,P1D
2013-01-15,SALVAJIN,0,P1D
