codigo_embalse,region,volumen_util,capacidad_util,volumen_total,VertimientosEnergia,fecha,vertimientos,duracion,etiqueta
PUNCHINA,Antioquia,28778900,81086719,36825000,0.0,2013-04-09,0.0,P1D,0
MIRAFLOR,Antioquia,20997700,304387239,36961100,0.0,2013-04-09,0.0,P1D,0
ALTOANCH,Valle,5853700,35110192,13597400,0.0,2013-04-09,0.0,P1D,0
PUNCHINA,Antioquia,33554800,81086719,41600900,0.0,2013-04-08,0.0,P1D,0
URRA1,Caribe,85576900,192324924,132745500,0.0,2013-04-08,0.0,P1D,0
TRONERAS,Antioquia,14539100,63534822,43152100,0.0,2013-04-08,0.0,P1D,0
AGREGADO_SIN,Colombia,6169983300,15169264945,7300348300,0.0,2013-04-08,0.0,P1D,0
SALVAJIN,Valle,59401300,192899152,84941600,0.0,2013-04-07,0.0,P1D,0
MUNA,Centro,23395500,56025812,25098800,0.0,2013-04-06,0.0,P1D,0
SALVAJIN,Valle,59860800,192899152,85401100,0.0,2013-04-05,0.0,P1D,0
BETANIA,Centro,95228800,140252238,181564800,0.0,2013-04-04,0.0,,0
PORCE2,Antioquia,9484100,133945086,76203600,0.0,2013-04-04,0.0,,0
PRADO,Centro,36623300,59469968,81061700,0.0,2013-06-04,0.0,P1D,0
MIEL1,Caldas,105653300,235260926,132431900,0.0,2013-06-04,0.0,P1D,0
CHUZA,Oriente,610575500,1044556840,668120500,0.0,2013-06-03,0.0,P1D,0
PENOL,Antioquia,1775749100,4109791052,2056243300,0.0,2013-06-03,0.0,P1D,0
